scenario_id,cohort,nature,arm,participants,assets,requested_notional,crossed_notional,cross_rate,residual_notional,dust_residual_notional,external_order_count,external_notional_executed,unfilled_notional,deferred_notional,cancelled_notional,est_external_cost_usd,est_external_cost_bps,provider_fee_usd,cost_extrapolated_orders,bilateral_crossed_notional,venue0_crossed_notional,multi_party_uplift,multi_party_uplift_pct,complementarity,solver_latency_ms,reference_matcher_parity,allocation_error_before_bps,allocation_error_after_bps,status,residual_decisions
"RANDOM_INDEPENDENT-000","RANDOM_INDEPENDENT","natural/randomized","MARKET_ONLY",7,9,85251.313621,0,0,85251.313621,0,39,85251.313621,0,0,0,93.72050868919462,11,0,1,22269.56,27325.779973999997,5056.219973999996,0.2270462449190732,0.42667508760873596,0,"n/a",7058,"","MARKET_ONLY","MARKET:39"
"RANDOM_INDEPENDENT-000","RANDOM_INDEPENDENT","natural/randomized","BILATERAL_ONLY",7,9,85251.313621,22269.56,0.2612224850751664,62981.75362100001,0.0536390000000746,27,62981.69998199999,0,0,0,79.85080302798077,13,0,1,22269.56,27325.779973999997,5056.219973999996,0.2270462449190732,0.42667508760873596,2.55,"n/a",7058,5214,"CROSSED_BILATERAL","MARKET:27"
"RANDOM_INDEPENDENT-000","RANDOM_INDEPENDENT","natural/randomized","VENUE0_CROSSING",7,9,85251.313621,27325.779973999997,0.3205320693999116,57925.53364700001,0.06062100000047721,26,57925.473026,0,0,0,71.56745874606355,12,0,0,22269.56,27325.779973999997,5056.219973999996,0.2270462449190732,0.42667508760873596,5,"LP_PASS",7058,4795,"PARTIAL_CROSS","MARKET:26"
"RANDOM_INDEPENDENT-000","RANDOM_INDEPENDENT","natural/randomized","VENUE0_FULL",7,9,85251.313621,27325.779973999997,0.3205320693999116,57925.53364700001,0.06062100000047721,25,57921.579491000004,0,3.893535,0,39.28992969846604,7,25.66102567098837,0,22269.56,27325.779973999997,5056.219973999996,0.2270462449190732,0.42667508760873596,5,"LP_PASS",7058,4795,"PARTIAL_CROSS","LIMIT:12 AGGREGATE:1 EXECUTE_NOW:13"
"RANDOM_INDEPENDENT-001","RANDOM_INDEPENDENT","natural/randomized","MARKET_ONLY",4,8,189130.753398,0,0,189130.753398,0,23,189130.753398,0,0,0,202.67179922665565,11,0,8,54827.84,69218.819984,14390.979984000005,0.2624757784366484,0.5076375516358266,0,"n/a",9225,"","MARKET_ONLY","MARKET:23"
"RANDOM_INDEPENDENT-001","RANDOM_INDEPENDENT","natural/randomized","BILATERAL_ONLY",4,8,189130.753398,54827.84,0.2898938380720255,134302.913398,0.043174999999408215,16,134302.870223,0,0,0,139.56181751041314,10,0,6,54827.84,69218.819984,14390.979984000005,0.2624757784366484,0.5076375516358266,1.07,"n/a",9225,6550,"CROSSED_BILATERAL","MARKET:16"
"RANDOM_INDEPENDENT-001","RANDOM_INDEPENDENT","natural/randomized","VENUE0_CROSSING",4,8,189130.753398,69218.819984,0.36598394888396807,119911.93341399998,0.048357000000478934,15,119911.88505699999,0,0,0,114.77207353050889,10,0,6,54827.84,69218.819984,14390.979984000005,0.2624757784366484,0.5076375516358266,1,"EXACT_PASS",9225,5849,"PARTIAL_CROSS","MARKET:15"
"RANDOM_INDEPENDENT-001","RANDOM_INDEPENDENT","natural/randomized","VENUE0_FULL",4,8,189130.753398,69218.819984,0.36598394888396807,119911.93341399998,0.048357000000478934,15,119911.88505699999,0,0,0,75.65659861612043,6,26.42337921621189,6,54827.84,69218.819984,14390.979984000005,0.2624757784366484,0.5076375516358266,1,"EXACT_PASS",9225,5849,"PARTIAL_CROSS","EXECUTE_NOW:10 LIMIT:5"
"RANDOM_INDEPENDENT-002","RANDOM_INDEPENDENT","natural/randomized","MARKET_ONLY",10,9,343525.3660409998,0,0,343525.3660409998,0,57,343525.3660409998,0,0,0,353.8387612044553,10,0,15,90884.23999999998,134893.67996099996,44009.43996099998,0.4842362103814698,0.4415419996784076,0,"n/a",8670,"","MARKET_ONLY","MARKET:57"
"RANDOM_INDEPENDENT-002","RANDOM_INDEPENDENT","natural/randomized","BILATERAL_ONLY",10,9,343525.3660409998,90884.23999999998,0.2645634034173561,252641.12604100004,0.10247399999979834,39,252641.02356700003,0,0,0,245.1087696616364,10,0,11,90884.23999999998,134893.67996099996,44009.43996099998,0.4842362103814698,0.4415419996784076,1.94,"n/a",8670,6376,"CROSSED_BILATERAL","MARKET:39"
"RANDOM_INDEPENDENT-002","RANDOM_INDEPENDENT","natural/randomized","VENUE0_CROSSING",10,9,343525.3660409998,134893.67996099996,0.39267458329380067,208631.68607999996,0.13722000000178003,34,208631.54886,0,0,0,162.37108412687215,8,0,11,90884.23999999998,134893.67996099996,44009.43996099998,0.4842362103814698,0.4415419996784076,5,"LP_PASS",8670,5265,"PARTIAL_CROSS","MARKET:34"
"RANDOM_INDEPENDENT-002","RANDOM_INDEPENDENT","natural/randomized","VENUE0_FULL",10,9,343525.3660409998,134893.67996099996,0.39267458329380067,208631.68607999996,0.13722000000178003,34,208631.54886,0,0,0,96.28754394830857,5,52.51745905222104,11,90884.23999999998,134893.67996099996,44009.43996099998,0.4842362103814698,0.4415419996784076,5,"LP_PASS",8670,5265,"PARTIAL_CROSS","EXECUTE_NOW:22 LIMIT:12"
